p_meaca,p_mrgse,p_sigpath,p_ora
0.9475026705059946,0.7176928945686468,0.738,0.3769476599085494
0.9818377188186331,0.8894445765673987,0.907,0.3862799453533804
0.9656073282475642,0.8765058803449162,0.888,0.3302085974228795
0.9786313844477619,0.9355237282318032,0.92,0.44175117254461493
0.9845061652938975,0.9413232134161357,0.948,0.3831708437949557
0.9953341133752456,0.8533824592047448,0.865,0.37071907117183533
0.9879112024318382,0.9823691725480574,0.988,0.3738339474843464
0.9808523570107247,0.9989699368402898,0.974,0.474937578400495
0.9777065661697357,0.8600749278059062,0.88,0.36136936510749884
0.9986780966369527,0.9424754345576581,0.91,0.35825174878211685
0.988700133957563,0.8787253452888046,0.885,0.32088318218592055
0.9855996746121676,0.9419597410561096,0.944,0.31467741394604554
0.980842619103521,0.9583679893662559,0.982,0.3644865874913873
0.9535519885506188,0.9340985323901918,0.93,0.34578131389160727
0.9697131267445229,0.8933425055560651,0.909,0.4387023192853281
0.9783684395076498,0.9571820496497413,0.98,0.32088318218592055
0.977932859469406,0.9337201275736351,0.925,0.3061830971145952
0.9795318187781885,0.9080521598097381,0.961,0.34578131389160727
0.9884442289087042,0.888692508882599,0.871,0.3302085974228795
0.9772487266974135,0.9857697210902547,0.99,0.343988120062083
0.9923401128728352,0.9269838631918439,0.95,0.32398963694705646
0.9772690631302561,0.8725085088331898,0.863,0.3862799453533804
0.996689087410438,0.9765219822453068,0.993,0.2848656341217041
0.984183354391531,0.8027580148195251,0.814,0.31693153309411753
0.9904784434993683,0.9665509182048281,0.958,0.32709818083379555
0.9903195919690487,0.9788639551002088,0.988,0.4172371678468154
0.9932776092725111,0.932520596203039,0.915,0.35825174878211685
0.9779770820091616,0.8510957395000426,0.852,0.20828388113355156
0.9850187861451517,0.9138407345221504,0.924,0.3358489169554494
0.9962475857724558,0.896233603163395,0.915,0.4110693341325311
0.9918033729931784,0.872931233652408,0.906,0.3302085974228795
0.9758188527983314,0.8904528252674062,0.873,0.4065662810429469
0.9834864752529752,0.9940418451582411,0.999,0.35201612462660425
0.996649838914202,0.9121863787090494,0.916,0.36136936510749884
0.9899640006461883,0.9589488916534048,0.938,0.3551339356375234
0.9890368571079545,0.9759728583935217,0.961,0.32709818083379555
0.9787507386498486,0.9462794178476261,0.982,0.3333206719584352
0.9880887354127371,0.8922617063201661,0.884,0.40179332341975893
0.9815133677000726,0.865319908049125,0.854,0.3800600206465401
0.988524744024267,0.7319076296705072,0.759,0.3676032206544302
0.9959969330950145,0.8430467561644507,0.858,0.32709818083379555
0.9855710747988629,0.9692632407938933,0.985,0.39869552270191977
0.9985251809840547,0.9934924946627938,0.997,0.3395489443002573
0.9882247117700667,0.9036317103766416,0.9,0.3364341913717517
0.9954456600885366,0.9645169270816938,0.979,0.31467741394604554
0.9660135884958745,0.9611920189336669,0.958,0.29016955126960403
0.9658026413960173,0.9478594026957421,0.965,0.3644865874913873
0.9991483798902728,0.8261074093531967,0.816,0.32709818083379555
0.9974554552005305,0.9324964510261492,0.925,0.2928282525610862
0.990188988013943,0.8593750000768889,0.833,0.4233905307780288
